url,tipo,etiqueta_html,alcance
http://www.lanacion.com.ar/765169-la-wikipedia-a-la-altura-de-la-enciclopedia-britanica,enlace,<a href>,externa
http://www.larepublica.pe/01-01-2006/bienvenido-al-wikimundo,enlace,<a href>,externa
http://www.mondotimes.com/2/topics/3/news/1/8849,enlace,<a href>,externa
http://www.nature.com/nature/journal/v438/n7070/full/438900a.html,enlace,<a href>,externa
http://www.pagina12.com.ar/diario/sociedad/3-267125-2015-03-01.html,enlace,<a href>,externa
http://www.papelenblanco.com/2007/11/15-reeditada-la-enciclopedia-mas-antigua-del-mundo,enlace,<a href>,externa
http://www.pascualserrano.net/noticias/201cla-decision-del-bloqueo-a-rebelion-org-me-parecio-un-absoluto-disparate-lo-que-deberia-ser-neutral-son-los-articulos-de-wikipedia-no-las-fuentes201d,enlace,<a href>,externa
http://www.pueblaonline.com.mx/index.php?option=com_k2&view=item&id=9723:alcalde-eduardo-rivera-expulsado-de-wikipedia,enlace,<a href>,externa
http://www.reuters.com/article/2010/05/13/urnidgns002570f3005978d885257722004fd44c-idUS215776773320100513,enlace,<a href>,externa
http://www.reuters.com/article/internetNews/idUSN0819429120070708,enlace,<a href>,externa
http://www.revistaenie.clarin.com/escenarios/musica/historia-amor-igual_0_406759511.html,enlace,<a href>,externa
http://www.schoolnetuganda.sc.ug/golden-nica-award,enlace,<a href>,externa
http://www.shirky.com/herecomeseverybody/2008/04/looking-for-the-mouse.html,enlace,<a href>,externa
http://www.techcentralstation.com/111504A.html,enlace,<a href>,externa
http://www.telegraph.co.uk/news/newstopics/howaboutthat/5549589/Wikipedia-turned-into-book.html,enlace,<a href>,externa
http://www.telegraph.co.uk/technology/wikipedia/6660646/Wikipedias-Jimmy-Wales-denies-site-is-losing-thousands-of-volunteer-editors.html,enlace,<a href>,externa
http://www.terra.es/tecnologia/articulo/html/tec15242.htm,enlace,<a href>,externa
http://www.tiempodehoy.com/default.asp?idpublicacio_PK=50&idioma=CAS&idnoticia_PK=58063&idseccio_PK=614&h=090807,enlace,<a href>,externa
"http://www.time.com/time/business/article/0,8599,1595184,00.html",enlace,<a href>,externa
"http://www.time.com/time/magazine/article/0,9171,1569514,00.html",enlace,<a href>,externa
http://www.usatoday.com/news/opinion/editorials/2005-11-29-wikipedia-edit_x.htm,enlace,<a href>,externa
http://www.washingtonpost.com/wp-dyn/content/article/2006/07/08/AR2006070800135.html,enlace,<a href>,externa
http://www.webbyawards.com/webbys/winners-2004.php,enlace,<a href>,externa
https://ab.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0,enlace,<a href>,externa
